44	0	0	0	0	65
47	0	0	0	0	46
47	0	0	0	0	47
59	0	0	0	0	45
52	0	0	0	0	47
57	0	0	0	0	50
46	0	0	0	0	49
44	0	0	0	0	52
45	0	0	0	0	53
44	0	0	0	0	54
54	0	0	0	0	52
50	0	0	0	0	44
45	0	0	0	0	55
52	0	0	0	0	51
53	0	0	0	0	49
45	0	0	0	0	48
55	0	0	0	0	52
50	0	0	0	0	53
45	0	0	0	0	45
52	0	0	0	0	47
45	0	0	0	0	56
50	0	0	0	0	45
47	0	0	0	0	57
58	0	0	0	0	40
47	0	0	0	0	56
50	0	0	0	0	51
50	0	0	0	0	50
56	0	0	0	0	41
47	0	0	0	0	52
48	0	0	0	0	54
44	0	0	0	0	47
49	0	0	0	0	51
52	0	0	0	0	55
48	0	0	0	0	45
38	0	0	0	0	53
43	0	0	0	0	67
43	0	0	0	0	64
38	0	0	0	0	53
55	0	0	0	0	56
36	0	0	0	0	42
62	0	0	0	0	60
41	0	0	0	0	46
56	0	0	0	0	35
62	0	0	0	0	52
56	0	0	0	0	45
54	0	0	0	0	51
51	0	0	0	0	39
54	0	0	0	0	44
47	0	0	0	0	48
47	0	0	0	0	50
53	0	0	0	0	58
48	0	0	0	0	52
55	0	0	0	0	44
61	0	0	0	0	43
47	0	0	0	0	47
42	0	0	0	0	57
49	0	0	0	0	50
52	0	0	0	0	54
52	0	0	0	0	46
40	0	0	0	0	54
48	0	0	0	0	60
48	0	0	0	0	53
52	0	0	0	0	49
35	0	0	0	0	47
58	0	0	0	0	53
58	0	0	0	0	53
44	0	0	0	0	45
49	0	0	0	0	55
51	0	0	0	0	48
51	0	0	0	0	51
54	0	0	0	0	43
51	0	0	0	0	47
37	0	0	0	0	51
50	0	0	0	0	57
64	0	0	0	0	45
41	0	0	0	0	53
61	0	0	0	0	39
47	0	0	0	0	41
62	0	0	0	0	46
55	0	0	0	0	43
52	0	0	0	0	47
46	0	0	0	0	52
50	0	0	0	0	58
51	0	0	0	0	50
46	0	0	0	0	55
48	0	0	0	0	47
47	0	0	0	0	49
62	0	0	0	0	45
39	0	0	0	0	48
52	0	0	0	0	46
54	0	0	0	0	47
59	0	0	0	0	50
49	0	0	0	0	49
63	0	0	0	0	41
56	0	0	0	0	52
51	0	0	0	0	51
46	0	0	0	0	49
32	0	0	0	0	53
51	0	0	0	0	46
47	0	0	0	0	58
